PhraseId	SentenceId	Phrase	Sentiment
146742	7982	1993 classic	3
74632	3827	think it was Plato who said	2
136607	7385	be grandiloquent	2
54204	2691	this emotional car-wreck	1
66679	3384	wearing a kilt	2
34199	1607	folks	2
124867	6710	when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion	2
135205	7299	are times when you wish that the movie had worked a little harder to conceal its contrivances	2
45433	2208	has rewards , from the exoticism of its seas of sand to the fierce grandeur of its sweeping battle scenes	4
7675	310	it makes most of what passes for sex in the movies look like cheap hysterics	3
81519	4204	the hype	1
10089	423	behavior	2
68599	3482	one of his most daring , and complicated , performances	4
118159	6312	show these characters in the act and	2
45963	2236	Bogdanovich puts history in perspective and	2
46787	2278	of the humor	2
23610	1072	But it 's defiantly and delightfully against the grain .	3
150973	8229	trying to do	2
131959	7113	a television monitor	2
95898	5010	decisive	3
89247	4639	humor and a heartfelt conviction to tell a story about discovering your destination in life	4
76565	3938	-LRB- Swimfan -RRB- falls victim to sloppy plotting , an insultingly unbelievable final act and a villainess who is too crazy to be interesting .	0
63141	3192	rocky path	2
87996	4572	-LRB- Jeff 's -RRB- gorgeous	3
82032	4232	beyond the astute direction of Cardoso and beautifully detailed performances by all of the actors	4
27647	1269	at some of the magic we saw in Glitter here in Wisegirls	2
23846	1083	misdirected	1
155187	8496	in a china shop , a provocateur crashing into ideas and special-interest groups as he slaps together his own brand of liberalism	2
136074	7351	little drama	2
154083	8417	how to create and sustain a mood	2
144719	7854	and cinematic deception	1
151893	8287	I have seen in an American film	2
14967	643	such a cold movie	2
154583	8452	more traditionally plotted popcorn thriller	3
77050	3963	in which murder is casual and fun	2
59560	3004	soured	2
23991	1089	than its Oscar-sweeping franchise predecessor	2
6677	266	of John Woo bullet ballet	2
10515	443	Does South Fork	2
59511	3001	terrible adaptation	0
136524	7381	the crisp clarity	3
147664	8035	fighting against the urge	2
48074	2344	head and shoulders	2
44404	2152	picture that does not move .	1
43158	2085	scathing	1
61389	3102	fraction	3
37007	1752	to feed to the younger generations	3
22137	993	is a dim-witted pairing of teen-speak and animal gibberish	0
132771	7159	easy on the reel\/real world dichotomy	2
114710	6104	hit you	2
242	8	Bartlett 's Familiar Quotations	2
106854	5643	younger lad	3
104392	5508	Sandra Bullock and Hugh Grant make a great team , but this predictable romantic comedy should get a pink slip	1
113905	6055	watch the procession of costumes in castles	2
137934	7463	aimless for much of its running time , until late in the film when a tidal wave of plot arrives	1
17850	775	the remarkable feat	3
139445	7562	should be able to appreciate the wonderful cinematography and naturalistic acting	3
147545	8028	to which it aspires	2
91272	4749	discovered , indulged in and rejected as boring before I see this piece of crap again	1
73078	3733	glorified sitcom	1
130484	7031	-LRB- Jackson and Bledel -RRB- seem to have been picked not for their acting chops , but for their looks and appeal to the pre-teen crowd .	1
120312	6432	Barry convinces us	2
95770	5002	enjoy the movie	4
124762	6705	Both Garcia and Jagger turn in perfectly executed and wonderfully sympathetic characters , who are alternately touching and funny .	3
151214	8243	wrapped up in the characters , how they make their choices , and why	3
35959	1697	's I 'm the One That I Want .	2
154125	8420	Duvall 's	3
67748	3441	's no point in extracting the bare bones of Byatt 's plot for purposes of bland Hollywood romance	1
148547	8083	Sheridan had a wonderful account to work from , but	2
140324	7615	into the structure of relationships	3
77793	3999	the peak of all things insipid	1
33500	1571	Movies Ago	2
111133	5890	gets bogged down over 140 minutes	1
119631	6398	Starts as a tart little lemon drop of a movie and ends up as a bitter pill	1
6190	246	the highest production values	4
88240	4583	frantic , virulent and foul-natured	1
76125	3905	remained	2
67259	3413	90 punitive minutes of eardrum-dicing gunplay , screeching-metal smashups , and flaccid odd-couple sniping	1
139882	7589	to the Afghani refugees who streamed across its borders , desperate for work and food	3
147249	8012	Wanker	2
10064	423	humanly	3
120655	6452	This cloying , voices-from-the-other-side story	1
114057	6064	Complex , sinuously plotted and , somehow , off-puttingly cold .	1
22386	1009	proves its undoing	2
86193	4462	which is often preachy and poorly acted	1
84062	4342	to digest	2
138094	7471	perversely	1
103302	5447	the labyrinthine ways	1
81020	4175	from `` promising ''	3
127910	6881	put together a bold biographical fantasia	3
113372	6024	bang your head on the seat in front of you , at its cluelessness , at its idiocy	1
22261	1001	is half as moving as the filmmakers seem to think .	1
20820	929	acting as if it were n't	2
4265	162	old-time B movies	2
34497	1620	the achingly unfunny Phonce and his several silly subplots	1
8315	345	New York celebrities	2
98331	5153	suffering Afghan refugees on the news	1
113780	6047	another viewing	2
39321	1877	impressively true for being so hot-blooded	3
135804	7336	gorgeous animation and a lame story -LRB- like , say , Treasure Planet -RRB- or	2
42180	2030	wordy	1
41406	1990	would have liked it much more if Harry & Tonto never existed	1
104572	5521	the wireless	2
107450	5676	's a very very strong `` B +	3
6384	253	an almost constant mindset	2
79717	4104	Diop Gai	2
120938	6473	patronising	1
45470	2210	's never dull	3
35821	1690	No one can doubt the filmmakers ' motives , but	2
1209	44	about 25	2
100917	5300	's been made with an innocent yet fervid conviction that our Hollywood has all but lost .	2
148141	8061	great war	2
71424	3642	's smooth and professional	3
130037	7002	does matter	2
79554	4096	The two leads , nearly perfect in their roles ,	4
152037	8296	a big corner office in Hell	1
95862	5009	glorious chicanery and self-delusion	2
30198	1401	on hammy at times	3
64495	3264	the careers of a pair of spy kids	2
101481	5336	another look	2
84258	4354	in touch	2
45249	2199	perfectly pleasant	4
90498	4710	Zealanders	2
16081	691	with admiration	2
473	17	inspired	3
105086	5551	I found the movie as divided against itself as the dysfunctional family it portrays .	1
145549	7912	are lean and tough enough to fit in any modern action movie	3
50690	2493	Ryan Gosling -LRB- Murder By Numbers -RRB- delivers a magnetic performance .	4
23813	1082	new film	2
59216	2987	dies	1
15205	654	may be captivated , as I was , by its moods , and by its subtly transformed star , and still wonder why Paul Thomas Anderson ever had the inclination to make the most sincere and artful movie in which Adam Sandler will probably ever appear .	3
21844	978	The Emperor 's Club	2
16137	694	likable	3
89462	4651	sour attempt	1
91188	4743	wacky implausibility	1
93354	4868	by characters who are nearly impossible to care about	0
95024	4956	mentally `` superior ''	3
116239	6194	its drastic iconography	3
55386	2764	the other Hannibal movies	2
5780	229	the sizzle of old news	1
58338	2940	Dover Kosashvili 's outstanding feature debut so potent	3
102637	5406	is a visually stunning rumination on love , memory , history and the war between art and commerce .	4
153170	8364	a deft pace master and	2
65699	3329	meaning in relationships or work	3
139250	7548	Surprisingly powerful and universal	4
149814	8157	Exhilarating but blatantly biased .	3
37033	1754	a paunchy midsection ,	1
74835	3836	mind crappy movies	0
50691	2493	Ryan Gosling -LRB- Murder By Numbers -RRB-	2
128745	6924	Tashlin comedy	1
40280	1929	Tavernier 's film bounds along with the rat-a-tat energy of `` His Girl Friday , '' maintaining a light touch while tackling serious themes .	4
101014	5306	forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in Bridget Jones 's Diary	2
99182	5201	pacing typical Hollywood war-movie stuff	2
79426	4091	are littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed .	0
151243	8245	they 'll be treated to an impressive and highly entertaining celebration of its sounds .	3
30696	1427	straight face	2
5207	206	the revenge	2
56214	2817	applied to the Iranian voting process .	2
15658	672	a delicately crafted film	3
15769	676	little substance	1
100441	5269	a helping hand and a friendly kick in the pants	2
120396	6438	Tom Shadyac has learned a bit more craft since directing Adams	3
84168	4348	for a litmus test of the generation gap	2
57891	2918	a flop	0
101821	5359	of Toy Story 2	2
29111	1347	has actually	2
80176	4131	Is not so much a work of entertainment as it is a unique , well-crafted psychological study of grief .	4
149295	8124	The picture runs a mere 84 minutes , but	2
53372	2648	to see a Chinese film depict a homosexual relationship in a mature and frank fashion	3
14954	642	payback	2
126949	6825	Such a fine idea for a film , and such a stultifying ,	2
147782	8040	has made Tucker a star	3
41348	1986	is , alas , no Woody Allen	2
3455	128	the adrenaline jolt of a sudden lunch rush at the diner	3
149732	8151	get by on humor that is not even as daring as John Ritter 's glory days on Three 's Company	1
82697	4270	This is one of the biggest disappointments of the year .	0
48765	2381	World War II	3
147236	8011	But , like Silence , it 's a movie that gets under your skin .	1
8439	351	the idea of the white man arriving on foreign shores to show wary natives the true light is abhorrent to you	1
